village,num_hh,totalpop,male_pop,female_pop,hh_size
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                DONA ,201,1 044 ,526,518,5.2
                HOUNVI ,341,1 735 ,846,889,5.1
                KOME ,315,1 706 ,833,873,5.4
                SAWLAKPA ,239,1 604 ,740,864,6.7
                SOVLEGNI ,383,2 308 ,1 172 ,1 136 ,6
                WO GBAYE ,216,1 065 ,535,530,4.9
                YE ,204,1 069 ,527,542,5.2
                ZINKANME ,426,2 010 ,955,1 055 ,4.7
        COM: OUINHI ,9 617 ,59 381 ,28 969 ,30 412 ,6.2
            ARROND: DASSO ,2 428 ,15 408 ,7 420 ,7 988 ,6.3
                AGONKON ,260,1 796 ,859,937,6.9
                BOSSA I ,76,763,384,379,10
                BOSSA II ,119,650,321,329,5.5
                TOZOUNGO ,501,3 323 ,1 592 ,1 731 ,6.6
                GBOKPAGO ,221,1 340 ,619,721,6.1
                GNANLI ,342,1 925 ,935,990,5.6
                HOUANVE ,146,805,378,427,5.5
                YAAGO ,191,1 268 ,597,671,6.6
                ZOUNGUE ,572,3 538 ,1 735 ,1 803 ,6.2
            ARROND: SAGON ,2 884 ,17 414 ,8 574 ,8 840 ,6
                ADAME ,549,3 070 ,1 514 ,1 556 ,5.6
                AHOGO ,127,799,373,426,6.3
                AHIZE ,936,6 156 ,3 032 ,3 124 ,6.6
                DOLIVI ,573,3 204 ,1 571 ,1 633 ,5.6
                HOUEDJA ,374,2 430 ,1 218 ,1 212 ,6.5
                TEVEDJI ,325,1 755 ,866,889,5.4
            ARROND: TOHOUE ,1 392 ,9 516 ,4 627 ,4 889 ,6.8
                AKASSA ,277,1 980 ,943,1 037 ,7.1
                ALLANBANDE ,154,1 101 ,541,560,7.1
                GANGBAN ,417,2 959 ,1 454 ,1 505 ,7.1
                MIDJANNANGAN ,262,1 640 ,803,837,6.3
                HOUNNOUME ,282,1 836 ,886,950,6.5
            ARROND: OUINHI ,2 913 ,17 043 ,8 348 ,8 695 ,5.9
                AHICON ,509,2 172 ,1 092 ,1 080 ,4.3
                AKANTE ZALOKO ,283,1 827 ,901,926,6.5
                AKANTE ZOUNGO ,238,1 351 ,640,711,5.7
                GANHOUNME ,256,1 712 ,804,908,6.7
                HOLLI ,490,2 750 ,1 398 ,1 352 ,5.6
                MONZOUNGOUDO ,400,2 941 ,1 444 ,1 497 ,7.4
                OUOKON AHLAN ,359,2 026 ,1 016 ,1 010 ,5.6
                OUOKON ZOUNGOME ,378,2 264 ,1 053 ,1 211 ,6
        COM: ZAGNANADO ,10 419 ,55 061 ,26 817 ,28 244 ,5.3
            ARROND: AGONLI-HOUEGBO ,1 331 ,6 467 ,3 112 ,3 355 ,4.9
                AYOGO ,133,638,281,357,4.8
                BAME ,179,1 133 ,553,580,6.3
                DOHOUINME ,238,1 077 ,517,560,4.5
                HOUEGBO AGA ,434,2 182 ,1 056 ,1 126 ,5
                AGONLIN HOUEGBO ,347,1 437 ,705,732,4.1
            ARROND: BANAME ,3 156 ,17 668 ,8 708 ,8 960 ,5.6
                ASSIANGBOMEY ,956,5 497 ,2 711 ,2 786 ,5.8
                GBATE ZOUME ,232,1 137 ,550,587,4.9
                N'DOKPO ,549,3 027 ,1 504 ,1 523 ,5.5
                SOWE ,246,1 432 ,692,740,5.8
                ZINGON ,1 173 ,6 575 ,3 251 ,3 324 ,5.6
            ARROND: DON-TAN ,1 116 ,5 924 ,2 883 ,3 041 ,5.3
                TAN-ADJA ,234,1 405 ,679,726,6
                DON-ALIHO ,140,696,317,379,5
                TAN-HOUEGBO ,518,2 591 ,1 297 ,1 294 ,5
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                DON-TOHOME ,224,1 232 ,590,642,5.5
            ARROND: DOVI ,1 452 ,7 714 ,3 701 ,4 013 ,5.3
                DIZIGO ,191,1 066 ,518,548,5.6
                DOVE ,183,922,434,488,5
                LEGBADO ,323,1 609 ,792,817,5
                SAGBONI ,183,1 081 ,512,569,5.9
                VODO ,370,1 710 ,785,925,4.6
                ZOUNOU ,202,1 326 ,660,666,6.6
            ARROND: KPEDEKPO ,1 576 ,8 268 ,4 070 ,4 198 ,5.2
                KPEDEKPO ,533,2 644 ,1 279 ,1 365 ,5
                AGONVE ,356,1 945 ,987,958,5.5
                AHLAN ,171,945,446,499,5.5
                KPOTO ,171,916,454,462,5.4
                LOKO ALANKPE ,104,427,209,218,4.1
                WOMETO ,89,493,249,244,5.5
                ZANTAN ,152,898,446,452,5.9
            ARROND: ZAGNANADO ,1 788 ,9 020 ,4 343 ,4 677 ,5
                DOGA-AGA ,180,847,381,466,4.7
                DOGA-ALIKON ,173,839,416,423,4.8
                DOGA-DOME ,312,1 865 ,924,941,6
                TOKPLEGBE ,196,1 038 ,519,519,5.3
                ZAGNANADO ,366,1 597 ,778,819,4.4
                ZONMON ,162,828,433,395,5.1
                ZOUNGOUDO ,399,2 006 ,892,1 114 ,5
        COM: ZA-KPOTA ,29 240 ,132 818 ,61 945 ,70 873 ,4.5
            ARROND: ALLAHE ,2 434 ,12 233 ,5 928 ,6 305 ,5
                ALLAHE ,523,2 471 ,1 191 ,1 280 ,4.7
                DOGBANLIN ,597,3 238 ,1 563 ,1 675 ,5.4
                GANHOUA ,312,1 487 ,758,729,4.8
