village,num_hh,totalpop,male_pop,female_pop,hh_size
                TOUCOUNTOUNA I ,477,3 193 ,1 581 ,1 612 ,6.7
                TOUCOUNTOUNA II ,526,3 083 ,1 564 ,1 519 ,5.9
DEPARTEMENT DE L’ATLANTIQUE,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
    DEP: ATLANTIQUE ,298 769 ,1 398 229 ,686 747 ,711 482 ,4.7
        COM: ABOMEY-CALAVI ,145 510 ,656 358 ,323 574 ,332 784 ,4.5
            ARROND: AKASSATO ,12 868 ,61 262 ,29 968 ,31 294 ,4.8
                ADJAGBO ,1 664 ,8 112 ,4 032 ,4 080 ,4.9
                AGASSA GODOMEY ,726,3 904 ,1 912 ,1 992 ,5.4
                AGONSOUDJA ,735,3 555 ,1 751 ,1 804 ,4.8
                AKASSATO CENTRE ,1 613 ,7 058 ,3 429 ,3 629 ,4.4
                GBETAGBO ,2 703 ,13 226 ,6 440 ,6 786 ,4.9
                GLOTOKPA ,553,2 542 ,1 268 ,1 274 ,4.6
                HOUEKEGBO ,1 859 ,8 474 ,4 114 ,4 360 ,4.6
                HOUEKEHONOU ,1 123 ,5 123 ,2 479 ,2 644 ,4.6
                MISSESSINTO ,1 420 ,6 875 ,3 366 ,3 509 ,4.8
                KPODJI LES MONTS ,472,2 393 ,1 177 ,1 216 ,5.1
            ARROND: GODOMEY ,58 491 ,253 262 ,123 833 ,129 429 ,4.3
                COCOCODJI ,7 356 ,33 947 ,16 423 ,17 524 ,4.6
                COCOTOMEY ,7 279 ,31 086 ,14 988 ,16 098 ,4.3
                DEKOUNGBE ,4 227 ,17 870 ,8 710 ,9 160 ,4.2
                GODOMEY-GARE (GODOMEYN'GBEHO) ,5 256 ,21 154 ,10 096 ,11 058 ,4
                HOUALACOMEY ,2 423 ,9 388 ,4 535 ,4 853 ,3.9
                SALAMEY ,8 019 ,34 757 ,16 639 ,18 118 ,4.3
                TOGBIN ,3 815 ,17 666 ,8 642 ,9 024 ,4.6
                GODOMEY TOGOUDO ,17 481 ,77 510 ,39 126 ,38 384 ,4.4
                YLOMAHOUTO ,2 635 ,9 884 ,4 674 ,5 210 ,3.8
            ARROND: GLO-DJIGBE ,5 694 ,28 103 ,13 716 ,14 387 ,4.9
                AGONGBE ,420,2 012 ,992,1 020 ,4.8
                DJISSOUKPA ,467,2 297 ,1 122 ,1 175 ,4.9
                DOMEGBO ,1 106 ,5 488 ,2 689 ,2 799 ,5
                GLO-DJIGBE(YOVOZINSA) ,841,3 998 ,1 979 ,2 019 ,4.8
                GLO FANTO ,402,2 302 ,1 120 ,1 182 ,5.7
                LOHOUSSA ,339,1 757 ,866,891,5.2
                YEKON AGA ,809,3 880 ,1 921 ,1 959 ,4.8
                YEKON DO ,473,2 413 ,1 152 ,1 261 ,5.1
                GLO MISSEBO ,837,3 956 ,1 875 ,2 081 ,4.7
            ARROND: HEVIE ,13 657 ,67 218 ,32 803 ,34 415 ,4.9
                ADOVIE ,5 500 ,26 431 ,13 082 ,13 349 ,4.8
                AKOSSAVIE ,2 660 ,13 223 ,6 327 ,6 896 ,5
                DOSSOUNOU ,524,2 733 ,1 322 ,1 411 ,5.2
                HOUINME ,2 989 ,14 924 ,7 277 ,7 647 ,5
                ZOUNGO ,1 984 ,9 907 ,4 795 ,5 112 ,5
            ARROND: KPANROUN ,2 105 ,9 679 ,4 725 ,4 954 ,4.6
                ANAGBO ,193,1 065 ,520,545,5.5
                AVAGBE ,325,1 618 ,784,834,5
                WAGNIZOUN ,134,510,246,264,3.8
                DJIGBO ,98,552,260,292,5.6
                AVOGNIKO ,167,758,379,379,4.5
                KPANROUN CENTRE ,491,2 093 ,1 029 ,1 064 ,4.3
                KPAVIEDJA ,268,1 320 ,639,681,4.9
                ZOUNGBO ,429,1 763 ,868,895,4.1
            ARROND: OUEDO ,5 849 ,27 522 ,13 589 ,13 933 ,4.7
                ADJAGBO ,1 737 ,8 400 ,4 149 ,4 251 ,4.8
                AHOUATO ,698,3 625 ,1 795 ,1 830 ,5.2
                ALLANSANKOME ,422,2 006 ,1 046 ,960,4.8
                DASSEKOME ,453,1 836 ,938,898,4.1
                KPOSSIDJA ,516,2 497 ,1 211 ,1 286 ,4.8
                OUEDO ,2 023 ,9 158 ,4 450 ,4 708 ,4.5
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
            ARROND: TOGBA ,15 516 ,73 331 ,36 370 ,36 961 ,4.7
                AHOSSOU GBETA ,1 992 ,9 468 ,4 631 ,4 837 ,4.8
                DRABO ,445,2 080 ,1 044 ,1 036 ,4.7
                HOUETO ,6 816 ,31 411 ,15 662 ,15 749 ,4.6
                HOUEGA-AGUE ,1 550 ,7 435 ,3 725 ,3 710 ,4.8
                HOUEGA-TOKPA ,1 187 ,5 766 ,2 837 ,2 929 ,4.9
                SOME ,1 328 ,6 668 ,3 283 ,3 385 ,5
                TOKAN ,2 198 ,10 503 ,5 188 ,5 315 ,4.8
            ARROND: ZINVIE ,3 468 ,18 157 ,8 756 ,9 401 ,5.2
                ADJOGANSA ,252,1 422 ,690,732,5.6
                DANGBODJI ,146,729,345,384,5
                DOKOMEY ,370,1 787 ,909,878,4.8
                GBODJE ,76,433,211,222,5.7
                GBODJOKO ,218,1 598 ,759,839,7.3
                KPOTOMEY ,141,720,347,373,5.1
                SOKAN ,454,2 392 ,1 162 ,1 230 ,5.3
                WAWATA ,392,2 036 ,955,1 081 ,5.2
                YEVIE ,582,2 909 ,1 395 ,1 514 ,5
                ZINVIE ,583,2 796 ,1 357 ,1 439 ,4.8
                ZINVIE ZOUNME ,254,1 335 ,626,709,5.3
            ARROND: ABOMEY-CALAVI ,27 862 ,117 824 ,59 814 ,58 010 ,4.2
                AGAMANDIN ,2 158 ,9 407 ,4 602 ,4 805 ,4.4
                AGORI ,15 429 ,62 586 ,32 743 ,29 843 ,4.1
                GBODJO ,1 066 ,4 577 ,2 202 ,2 375 ,4.3
